"","X","userid","wave_id","agescreen","age","gender","education","adults","children","employment","income","footage","ssn_precip","ssn_tmp","drghtfreq","drghtsev","fldfreq","fldsev","avgtmp","tmpextrm","evntexp_wind","evntexp_drght","evntexp_rain","evntexp_cold","evntexp_snow","evntexp_ice","evntexp_flood","evntexp_torn","evntexp_fire","evntfreq_wind","evntfreq_rain","evntfreq_cold","evntfreq_snow","evntfreq_ice","evntfreq_torn","evntfreq_fire","evntfutfreq_wind","evntfutfreq_drght","evntfutfreq_rain","evntfutfreq_cold","evntfutfreq_snow","evntfutfreq_ice","evntfutfreq_flood","evntfutfreq_torn","evntfutfreq_fire","wtr_bill_totcost","wtr_bill_dk","wtr_use","wtr_short","mntain_lawn","wtr_qual","wtr_safe","wtr_comm","wtr_farm","wtr_steps_flush","wtr_steps_flow","wtr_steps_bath","wtr_steps_lawn","wtr_steps_car","wtr_steps_othr","wtr_steps_spec","enrgy_sourc_elec","enrgy_sourc_natgas","enrgy_sourc_prop","enrgy_sourc_wood","enrgy_sourc_othr","enrgy_sourc_othr_spec","elec_bill_totcost","elec_bill_dk","elec_use","elec_out","gas_bill_totcost","gas_bill_dk","gas_use","enrgy_steps_lghts","enrgy_steps_ac","enrgy_steps_heat","enrgy_steps_savappl","enrgy_steps_unplug","enrgy_steps_insul","enrgy_steps_savdoor","enrgy_steps_othr","enrgy_steps_othr_spec","party","party_spec","lean","ideol","cncrn_secur","cncrn_health","cncrn_enrgy","cncrn_trns","cncrn_tax","cncrn_edu","cncrn_econ","glbwrm_ok","time_outside","spent_outside","cmpr_time_outside","hlth_status","nghbrhd_deal","nghbrhd_close","nghbrhd_care","nghbrhd_not","nghbrhd_eyes","nghbrhd_help","wthr_info_paper","wthr_info_web","wthr_info_govweb","wthr_info_loctv","wthr_info_cabtv","wthr_info_radio","wthr_info_fam","wthr_info_soc","wthr_info_othr","wthr_info_othr_spec","dot_answr","click_bluedot","begin_datetime","end_datetime","is_statewide","hispanic","race","race_spec","evntexp_heat","evntexp_ethqk","evntfreq_heat","evntfreq_ethqk","evntfutfreq_heat","evntfutfreq_ethqk","wtr_steps_leaks","wtr_steps_ldry","enrgy_sourc_geo","enrgy_steps_bulbs","wthr_info_phone","mntain_flwr","mntain_veg","glbcc","glbcc_cert","glbcc_risk","is_payne","is_okcity","evntexp_hail","evntfreq_hail","evntfutfreq_hail","wtr_freq","cncrn_natres","confirm_zip","is_kiamichi","is_washita","is_canadian","consent","home_lot","ethqk_risk","ethqk_cause","ethqk_risk_mgmt","ethqk_risk_rand","ethqk_risk_fed_mgmt","glbwrm_risk_rand","glbwrm_risk_mgmt","glbwrm_risk_fed_mgmt","know_fire","purp_fire","purp_fire_exp","useful_val_fire","use_fire_rural","nofire_notrain","nofire_notnear","nofire_othr","nofire_othr_spec","urban_fire","fire_implmnt","okelec_foss","okelec_nuc","okelec_renew","solar_prop","heard_netmeter","net_met_info","ok_net_met","vote","vote_2016","vote_cand","vote_cand_spec","vote_cand_spt","f.gender","f.party","f.party.2","r.ind","f.ind","r.rep","f.rep","r.dem","f.dem","f.edu","f.race","r.race","f.race.2","r.white","f.white","r.AfricanAmer","f.AfricanAmer","r.age","f.age","f.age.2","r.ideology","f.ideology","f.glbwrm_ok"
"177",2617,"Ph-W110846","Wave 12 (Fall 2016)",1,55,0,2,2,NA,8,120000,2200,1,3,2,2,2,2,3,3,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,2,3,2,2,2,2,1,2,2,3,64,0,3,0,0,3,7,3,3,0,0,0,0,1,0,NA,1,0,0,0,0,NA,169,0,2,1,NA,NA,NA,1,0,1,1,0,0,0,0,NA,2,NA,NA,4,7,10,7,10,10,8,6,2,2,2,3,3,3,4,4,1,5,6,"Never","Less than once per week","Never","About once a day","Less than once per week","Never","About once per week","Less than once per week",NA,NA,NA,1,1481685752,1481688514,1,0,1,NA,0,1,3,3,2,3,0,0,0,1,"Less than once per week",1,0,1,5,6,0,0,0,2,1,4,7,74002,0,0,0,"Yes, I agree to participate in this study",3,10,2,10,"regulating",6,"managing",4,4,1,1,"To help ranchers and farmers manage underbrush weeds exc. also helps with insects control and to reduce the risk of wildfires plus it helps the new plant growth ",2,0,0,1,0,NA,NA,NA,"45","5","50",0,0,1,4,1,1,0,NA,3,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","HS/GED","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",2,"Moderate",NA
"178",2630,"Ph-W200026","Wave 12 (Fall 2016)",1,53,1,4,2,1,4,NA,1800,1,3,3,3,1,1,3,2,0,1,0,0,0,0,0,0,1,2,1,1,1,1,1,2,2,3,2,1,2,2,2,2,3,90,0,2,0,1,4,10,4,4,0,0,1,1,1,0,NA,1,1,1,0,0,NA,200,0,2,0,40,0,2,1,1,1,0,0,0,0,0,NA,1,NA,NA,4,10,10,10,10,10,10,10,1,1,1,2,3,4,4,1,1,4,4,"Never","Less than once per week","Less than once per week","Several times a day","Less than once per week","Several times a day","Never","Never",NA,NA,NA,1,1481144864,1481145870,1,0,1,NA,0,1,2,3,3,3,0,0,0,1,"Several times a day",0,0,1,9,10,0,0,0,1,2,2,10,73003,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"managing",10,"regulating",10,10,1,2,NA,1,NA,NA,NA,NA,NA,0,2,"25","0","75",0,0,1,4,1,1,1,NA,5,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",2,"Moderate","Yes"
"179",2640,"Ph-W200056","Wave 12 (Fall 2016)",1,65,1,6,2,0,4,85000,1700,2,2,2,2,2,2,2,2,1,0,1,0,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,NA,1,2,0,1,3,7,1,1,0,0,0,0,0,0,NA,1,1,0,0,0,NA,NA,1,2,1,NA,1,2,0,0,0,0,0,0,0,0,NA,3,NA,2,5,4,7,7,6,8,7,6,0,2,3,2,2,4,4,6,4,2,2,"Several times per week","Several times a day","Less than once per week","About once per week","Never","Several times a day","About once per week","About once a day",NA,NA,1,0,1481030971,1481044645,1,0,1,NA,0,1,NA,2,NA,2,0,0,0,1,"Never",0,0,0,8,2,0,0,0,NA,2,2,5,73012,0,0,0,"Yes, I agree to participate in this study",1,5,1,2,"regulating",2,"managing",1,NA,1,1,"a prescribed fire is used to remove the dry growth that fires will use to spread, in order to reduce the risk of fire spreading from man made or natural fire causes.",1,NA,NA,NA,NA,NA,1,1,"45","30","25",0,1,2,2,1,1,0,NA,4,"Men","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","No"
"180",2656,"Ph-W200242","Wave 12 (Fall 2016)",1,55,1,6,3,1,4,170000,3800,1,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,2,2,3,2,2,2,110,0,2,0,1,3,9,4,4,0,0,0,0,0,0,NA,1,1,0,0,0,NA,NA,0,2,0,50,0,2,1,0,1,0,0,0,0,0,NA,2,NA,NA,6,2,7,6,5,2,10,8,2,2,2,2,4,5,7,1,1,7,6,"Never","Never","Several times a day","Several times per week","Less than once per week","About once per week","Several times per week","Never",NA,NA,1,0,1481038290,1481039240,1,0,1,NA,0,0,3,2,1,2,0,0,0,1,"Several times a day",1,0,0,5,2,0,0,0,1,2,4,2,73008,0,0,0,"Yes, I agree to participate in this study",1,7,2,9,"managing",3,"regulating",1,1,1,1,"To allow for a burn of forest or prairie in a controlled area for benefits that a burn provide and to reduce the risk of a wildfire in the future",1,NA,NA,NA,NA,NA,0,1,"75","0","25",0,1,2,3,1,1,0,NA,2,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",3,"Conservative",NA
"181",2670,"Ph-W200329","Wave 12 (Fall 2016)",1,63,0,6,2,NA,4,65000,2000,1,3,2,2,1,1,3,3,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,0,0,3,0,1,3,10,2,2,0,0,0,0,0,0,NA,1,0,0,1,0,NA,260,0,1,1,NA,NA,NA,1,1,1,0,0,0,0,0,NA,1,NA,NA,3,8,10,8,8,8,10,8,1,2,2,2,4,3,3,2,2,5,6,"Never","About once per week","About once per week","Several times per week","Never","About once per week","Less than once per week","Several times a day","Never",NA,NA,1,1482321458,1482322679,1,0,3,NA,0,1,2,3,2,3,0,1,0,1,"About once per week",1,1,1,8,8,0,0,0,1,2,5,6,73010,0,0,0,"Yes, I agree to participate in this study",3,8,2,10,"regulating",6,"managing",8,9,2,NA,NA,NA,0,1,0,0,NA,NA,NA,"25","25","50",0,0,1,3,1,1,1,NA,4,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Bachelor's Degree","Amer India",3,"Other",0,"Non White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","Yes"
"182",2699,"Ph-W200528","Wave 12 (Fall 2016)",1,75,0,7,2,0,3,150000,2100,1,2,3,3,1,1,NA,2,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,2,2,3,2,2,1,2,2,2,2,60,0,2,0,1,3,10,1,1,0,0,0,0,0,0,NA,1,1,0,0,0,NA,110,0,2,0,50,0,2,1,1,0,0,0,0,0,0,NA,3,NA,1,3,8,10,8,7,10,10,10,2,1,3,2,4,6,6,NA,1,4,5,"Never","About once a day","Never","About once a day","About once a day","Several times a day","About once per week","Never",NA,NA,1,0,1484535389,1484537491,1,0,1,NA,0,1,2,2,2,2,0,0,0,0,"Several times per week",1,0,1,6,7,0,0,0,1,2,5,7,73013,0,0,0,"Yes, I agree to participate in this study",2,9,2,10,"managing",10,"managing",6,8,2,NA,NA,1,NA,NA,NA,NA,NA,0,1,"70","0","30",0,0,1,3,1,1,1,NA,4,"Women","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Master's degree","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",2,"Moderate",NA
"183",2718,"Ph-W200563","Wave 12 (Fall 2016)",1,75,1,4,2,NA,8,140000,2400,1,3,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,105,0,2,0,1,4,10,2,2,1,0,0,0,0,1,"reduced amount time spent watering",1,1,0,0,0,NA,100,0,3,0,52,0,1,1,1,0,0,0,0,0,0,NA,3,NA,2,7,8,8,5,6,8,9,8,0,3,2,2,4,4,4,1,1,4,4,"Never","Less than once per week","Never","About once a day","Less than once per week","Never","Never","Never","Less than once per week",NA,1,0,1481584736,1481585870,1,0,1,NA,0,1,2,1,2,1,0,0,0,0,"Several times per week",1,0,0,9,1,0,0,0,1,2,5,5,73013,0,0,0,"Yes, I agree to participate in this study",1,2,2,5,"managing",0,"managing",0,0,1,1,"clean up an area that may be subject to wild fires, thereby preventing the rapid spread of fires",1,NA,NA,NA,NA,NA,0,1,"50","25","25",0,1,2,4,1,1,0,NA,3,"Men","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",3,"Conservative","No"
"184",2752,"Ph-W200805","Wave 12 (Fall 2016)",1,56,1,4,3,1,4,120000,5100,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,NA,2,251,0,2,0,1,3,10,4,5,0,0,0,0,0,0,"we do not have a water shortage",1,1,0,0,0,NA,250,0,2,0,45,0,2,0,1,0,0,0,0,0,0,NA,2,NA,NA,6,5,10,4,5,9,10,10,0,3,3,2,4,1,3,1,2,1,2,"Never",NA,"Less than once per week","Less than once per week","Less than once per week","Several times per week","About once per week","Never",NA,NA,NA,1,1481000469,1481001745,1,0,1,NA,0,1,2,2,2,2,0,0,0,1,"About once a day",1,1,0,0,0,0,0,0,2,2,4,5,73071,0,0,0,"Yes, I agree to participate in this study",2,5,3,5,"managing",0,"managing",0,0,1,1,"a prescribed fire is a means to clear under growth. It promotes growth and makes for a healthy forest. ",1,NA,NA,NA,NA,NA,1,1,"50","50","0",0,1,2,1,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(17.9,58.5]",3,"Conservative","No"
"185",2770,"Ph-W200908","Wave 12 (Fall 2016)",1,61,1,2,2,0,4,90000,2200,1,2,2,2,1,1,2,2,1,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,3,2,2,2,3,3,2,2,2,25,0,2,0,1,4,9,4,4,0,0,1,1,0,0,NA,1,1,0,0,0,NA,80,0,1,0,45,0,2,0,1,1,0,0,0,0,0,NA,3,NA,2,5,10,10,10,10,9,10,10,1,3,3,2,3,6,6,1,1,7,6,"About once a day","About once a day","Never","About once a day","About once a day","About once a day","Never","Never",NA,NA,3,0,1481666956,1481668708,1,0,1,NA,0,1,1,2,3,3,0,1,0,1,"Several times a day",1,0,1,9,9,0,0,0,2,2,5,10,73034,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"managing",10,"managing",8,9,1,1,"Help put another fire. Sometimes used to burn a certain area.",1,NA,NA,NA,NA,NA,0,1,"80","10","10",0,0,1,4,1,1,0,NA,4,"Men","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","HS/GED","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","Yes"
"186",2783,"Ph-W200915","Wave 12 (Fall 2016)",1,77,1,7,2,0,8,140000,2600,1,3,2,1,1,1,3,3,1,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,3,3,2,1,1,1,2,2,2,170.28,0,3,0,1,4,10,4,2,0,0,0,0,0,0,NA,1,1,0,0,0,NA,164.08,0,2,1,53,0,2,1,1,0,0,0,0,0,0,NA,1,NA,NA,2,5,5,9,3,3,10,8,1,1,3,1,4,3,1,1,1,7,7,"Never","Several times per week","About once a day","Several times a day",NA,"Never","Never","Never",NA,NA,NA,1,1481076047,1481077784,1,0,1,NA,0,1,2,3,3,2,0,0,0,1,"Less than once per week",0,0,1,10,10,0,0,0,1,2,5,9,73034,0,0,0,"Yes, I agree to participate in this study",2,8,2,10,"regulating",5,"regulating",10,10,1,1,"Used to clear out brush and trees ahead of a wildfire. Also can be any burn that is deliberately set under controlled conditions.  ",1,NA,NA,NA,NA,NA,0,1,"50","0","50",0,0,1,2,1,1,1,NA,3,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Master's degree","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",1,"Liberal","Yes"
"187",2797,"Ph-W200982","Wave 12 (Fall 2016)",1,65,0,6,2,0,5,NA,4000,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,3,2,3,1,1,2,2,2,2,2,2,2,2,2,0,0,1,0,1,4,10,4,3,0,0,0,1,0,0,NA,0,1,0,0,0,NA,NA,NA,NA,NA,56.78,0,1,0,0,0,0,0,0,0,0,NA,2,NA,NA,7,2,2,2,2,4,6,6,2,1,2,1,5,6,5,1,1,7,5,"Never","About once a day","Less than once per week","Less than once per week","Never","Never","Several times per week","Never",NA,NA,NA,1,1484091205,1484093227,1,0,1,NA,0,1,2,1,2,1,0,0,0,0,"About once a day",1,1,1,4,2,0,0,0,1,2,2,6,73034,0,0,0,"Yes, I agree to participate in this study",2,4,2,7,"regulating",0,"regulating",1,0,1,1,"Burning brush and other flammable foliage to eliminate fire dangers and do so while firefighters (or I suppose other knowledgeable trained people)  are close by with the proper equipment to keep it in control.  ",2,NA,NA,NA,NA,NA,0,1,"85","0","15",0,1,1,4,1,1,0,NA,5,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",3,"Conservative",NA
"188",2810,"Ph-W201290","Wave 12 (Fall 2016)",1,76,1,5,2,0,8,60000,2554,1,2,3,2,1,1,2,2,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,3,2,1,2,1,2,1,2,3,NA,0,2,0,1,3,8,4,2,0,0,0,0,0,0,NA,1,1,0,0,0,NA,68.7,0,2,0,21.92,0,2,0,0,0,0,0,0,0,0,NA,2,NA,NA,6,3,9,5,3,10,8,8,0,2,3,2,3,6,6,2,1,7,6,"About once a day","About once per week","Less than once per week","About once a day","About once a day","Never","About once per week","Never",NA,"NONE",1,0,1481059808,1481063073,1,0,1,NA,0,0,2,3,2,2,0,0,0,0,"About once a day",1,0,0,7,2,0,0,0,1,2,5,8,73049,0,0,0,"Yes, I agree to participate in this study",3,5,2,8,"managing",0,"managing",3,3,1,1,"It is designed to burn the accumalated
dry brush, leaves, etc. that have accumulated in a controlled manner. With
the objective of preventing large uncontrolled distructive fires.",1,0,0,0,0,"My property is completly landscaped and sprinkled so there is no reason to burn.",NA,NA,"65","0","35",0,1,2,3,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","2 year/Associates","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",3,"Conservative","No"
"189",2822,"Ph-W201293","Wave 12 (Fall 2016)",1,64,0,4,4,0,8,80000,3400,1,3,3,1,2,2,3,3,1,1,0,0,0,0,0,0,1,2,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,NA,1,2,0,1,4,10,1,3,1,0,0,1,0,0,NA,1,0,1,1,0,NA,200,0,1,0,NA,NA,NA,1,1,1,1,0,0,1,0,NA,2,NA,NA,4,7,9,6,7,5,10,7,1,2,2,2,3,4,2,2,4,6,4,"Never","Less than once per week","Several times a day","About once a day","Less than once per week","Never","Several times per week","About once per week",NA,NA,1,0,1480985020,1480986178,1,0,1,NA,0,1,3,3,3,3,0,0,0,1,"About once per week",1,1,1,10,10,0,0,0,2,2,5,7,73051,0,0,0,"Yes, I agree to participate in this study",3,8,2,10,"regulating",10,"regulating",10,10,1,1,"Lower the risk of fire by controlling burnable materials under controlled conditions.",1,0,0,0,1,"Mow and cut brush instead",NA,NA,"0","0","100",0,1,1,3,1,1,0,NA,2,"Women","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","Yes"
"190",2837,"Ph-W201541","Wave 12 (Fall 2016)",1,68,1,3,1,0,6,12000,1300,1,3,3,2,2,2,3,2,0,1,0,0,0,0,0,0,0,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,NA,1,2,0,0,3,10,4,3,0,0,0,0,0,0,NA,1,0,1,0,0,NA,79,0,2,0,NA,NA,NA,1,1,1,0,1,0,0,0,NA,2,NA,NA,6,10,5,5,5,10,5,10,0,3,1,2,3,5,6,6,2,2,1,"Never","Less than once per week","Never","About once a day","Never","Several times per week","Less than once per week","Never",NA,NA,NA,1,1481062271,1481063915,1,0,1,NA,0,1,2,3,2,2,1,0,0,1,"Never",0,0,0,9,1,0,0,0,2,2,NA,7,73059,0,0,0,"Yes, I agree to participate in this study",3,3,3,1,"regulating",0,"managing",NA,0,1,1,"To burn unwanted grass, underbrush or dead limbs accumulated from ice storms in a safe controlled maner.",1,1,NA,NA,NA,NA,NA,NA,"75","0","25",0,NA,1,2,1,1,0,NA,3,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Vocational/Technical","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",3,"Conservative","No"
"191",2848,"Ph-W201580","Wave 12 (Fall 2016)",1,83,1,4,2,0,8,25000,3200,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,35,0,2,0,1,3,10,3,5,0,0,0,0,0,0,NA,1,1,1,0,0,NA,NA,1,2,0,NA,1,2,1,0,0,0,0,0,0,0,NA,2,NA,NA,5,4,2,2,2,4,0,1,0,4,3,1,3,7,7,1,1,7,7,"Never","Never","Never","About once a day","Never","Never","Never","Never",NA,NA,NA,1,1481066930,1481069743,1,0,1,NA,0,1,2,2,2,2,0,0,0,0,"Never",1,1,0,1,0,0,0,0,1,2,4,2,73064,0,0,0,"Yes, I agree to participate in this study",1,3,2,4,"managing",3,"managing",0,0,1,1,"To clear timber, debris, and things that are a fire hazard.",0,NA,NA,NA,NA,NA,0,1,"76","1","23",0,0,3,NA,1,1,0,NA,4,"Men","Rep","Rep",0,"Non Ind",1,"Rep",0,"Non Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",2,"Moderate","No"
"192",2861,"Ph-W201607","Wave 12 (Fall 2016)",1,59,0,6,2,0,4,85000,1600,1,3,3,2,1,1,1,2,1,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,3,3,2,2,2,3,1,2,3,67,0,1,0,0,3,8,1,2,0,0,0,0,1,1,"Didn't water lawn only vegetable garden",1,1,0,0,0,NA,70,0,1,1,41,0,1,1,1,1,1,1,0,0,0,NA,1,NA,NA,2,1,10,4,4,4,10,4,1,2,2,2,5,3,4,1,1,7,7,"Less than once per week","Several times a day","Never","Several times a day","Several times a day","About once per week","Several times a day","Never","Never",NA,NA,1,1483718783,1483720126,1,0,1,NA,0,1,1,3,3,3,0,0,0,0,"Never",1,1,1,10,10,0,0,0,2,3,5,10,73064,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"managing",10,"regulating",10,10,0,NA,NA,1,NA,NA,NA,NA,NA,0,1,"50","0","50",0,1,1,4,1,1,1,NA,4,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(58.5,99.1]",1,"Liberal","Yes"
"193",2872,"Ph-W201734","Wave 12 (Fall 2016)",1,64,1,4,2,0,4,47000,2100,1,3,3,2,1,1,3,2,0,1,0,1,0,0,0,0,0,2,2,1,1,1,2,2,3,3,1,1,1,1,2,2,3,38,0,1,0,0,3,9,2,1,0,0,0,0,0,0,NA,1,1,0,1,0,NA,130,0,2,1,58,0,1,1,1,1,0,1,0,0,0,NA,1,NA,NA,2,5,10,8,10,5,10,9,1,4,3,3,3,3,3,2,4,4,4,"Never","Less than once per week","Never","Several times a day","Less than once per week","Several times a day","About once a day","Never","Several times a day","eyeballs",1,0,1482800041,1482801520,1,0,1,NA,0,1,2,3,3,3,0,0,0,0,"Never",0,1,1,10,10,0,0,0,1,2,5,10,73069,0,0,0,"Yes, I agree to participate in this study",2,10,2,10,"regulating",10,"regulating",10,10,1,1,"to proactively burn away potential fuel for a wild fire under supervised and ideal weather conditions like no winds",1,NA,NA,NA,NA,NA,2,1,"25","0","75",0,1,1,2,1,1,1,NA,3,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","Some College","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",1,"Liberal","Yes"
"194",2885,"Ph-W201759","Wave 12 (Fall 2016)",1,74,1,2,3,0,8,53000,1600,2,3,2,2,2,2,3,1,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,62,0,2,0,0,3,8,2,2,1,1,0,0,0,0,NA,1,1,0,0,0,NA,95,0,2,1,45,0,2,1,0,0,1,0,0,0,0,NA,1,NA,NA,3,0,8,1,1,2,5,8,1,2,1,2,3,3,3,2,1,5,5,"About once a day","Never","Never","About once a day","Never","Never","Never","Never","Never",NA,1,0,1481035517,1481039344,1,0,1,NA,0,1,1,3,1,2,0,0,0,1,"Never",1,0,1,9,9,0,0,0,1,2,4,8,73069,0,0,0,"Yes, I agree to participate in this study",1,7,2,10,"regulating",10,"regulating",9,10,1,1,"T0 clear out dead and unwanted vegetation.",0,NA,NA,NA,NA,NA,0,1,"50","0","50",0,0,1,4,1,1,1,NA,4,"Men","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","HS/GED","White",2,"White",1,"White",0,"Non AfricanAmer",6,"71+","(58.5,99.1]",2,"Moderate","Yes"
"195",2898,"Ph-W201868","Wave 12 (Fall 2016)",1,59,0,8,4,0,4,75000,2500,1,3,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,1,2,0,1,3,9,2,2,0,0,0,1,0,0,NA,1,0,0,0,0,NA,NA,1,2,0,NA,NA,NA,1,1,1,1,1,0,0,0,NA,1,NA,NA,4,7,10,7,10,10,10,10,1,2,2,3,3,6,6,1,2,6,6,"About once per week","Less than once per week","Less than once per week","Several times a day","Never","Never","Several times a day","Several times a day",NA,NA,2,0,1481653664,1481654385,1,0,1,NA,0,0,2,3,2,2,0,0,0,1,"Several times per week",0,0,1,10,10,0,0,0,2,2,1,10,73071,0,0,0,"Yes, I agree to participate in this study",2,NA,2,10,"managing",10,"managing",10,10,1,1,"to burn dead brush to decrease the risk of wild fires",1,NA,NA,NA,NA,NA,1,1,"25","0","75",0,0,1,4,1,1,1,NA,4,"Women","Dem","Dem",0,"Non Ind",0,"Non Rep",1,"Dem","PhD/JD/MD","White",2,"White",1,"White",0,"Non AfricanAmer",4,"51-60","(58.5,99.1]",2,"Moderate","Yes"
"196",2911,"Ph-W201869","Wave 12 (Fall 2016)",1,70,0,6,1,0,8,25000,2300,1,2,2,2,1,2,2,2,0,1,0,0,0,0,0,0,0,2,1,2,1,1,1,1,2,3,1,2,1,2,2,3,3,50,0,2,1,1,1,0,2,2,1,1,0,1,1,0,NA,1,1,0,0,0,NA,75,0,2,0,25,0,2,1,1,1,0,1,0,0,0,NA,3,NA,1,4,8,9,6,6,10,9,6,1,1,2,2,5,7,7,1,1,7,7,"Never","Less than once per week","Never","About once a day","Never","Never","Several times per week","Never",NA,NA,NA,1,1484198607,1484200549,1,0,1,NA,0,1,2,2,3,2,0,0,0,1,"Several times per week",1,0,1,10,10,0,0,0,1,3,4,3,73071,0,0,0,"Yes, I agree to participate in this study",2,7,2,10,"regulating",10,"managing",10,10,1,1,"To reduce the amount of combustible material and thus prevent widespread fire damage by providing a fire break.",1,NA,NA,NA,NA,NA,0,1,"40","0","60",0,1,2,4,0,NA,NA,NA,NA,"Women","Ind","Ind",1,"Ind",0,"Non Rep",0,"Non Dem","Bachelor's Degree","White",2,"White",1,"White",0,"Non AfricanAmer",5,"61-70","(58.5,99.1]",2,"Moderate","Yes"
