"title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"11:14",2003,95,6000000,7.1,605,NA,0,0,1,1,0,0,0
"12 + 1",1969,94,NA,5.5,51,NA,0,0,1,0,0,0,0
"12 Angry Men",1957,96,340000,8.7,29278,NA,0,0,0,1,0,0,0
"12 B",2001,150,NA,5.2,6,NA,0,0,0,1,0,0,0
"12 Bucks",1998,86,NA,5.1,46,NA,0,0,0,1,0,0,0
"12 Hot Women",2003,4,NA,5.2,24,NA,0,0,1,0,0,0,1
"12 Stops on the Road to Nowhere",1999,18,NA,7.2,24,NA,0,0,1,0,0,0,1
"12 horas",2001,89,NA,6.2,39,NA,0,0,1,1,0,0,0
"12 mesyatsev",1956,55,NA,8.5,14,NA,0,1,0,0,0,0,0
"12 stulev",1971,161,NA,8.9,252,NA,0,0,1,0,0,0,0
"12 to the Moon",1960,74,150000,2.8,89,NA,0,0,0,0,0,0,0
"120 Tage von Bottrop, Die",1997,60,NA,2.4,52,NA,0,0,1,0,0,0,0
"125 rue Montmartre",1959,85,NA,5.2,22,NA,0,0,0,1,0,0,0
"12:01 PM",1990,25,NA,7.4,183,NA,0,0,0,0,0,0,1
"12:35",2002,92,NA,8.2,5,NA,0,0,0,1,0,0,0
"13 Dead Men",2003,85,NA,2.2,69,"R",1,0,0,0,0,0,0
"13 Fighting Men",1960,69,NA,4.2,5,NA,0,0,0,0,0,0,0
"13 Frightened Girls",1963,89,NA,5,34,NA,0,0,0,0,0,0,0
"13 Ghosts",1960,85,NA,5.6,578,NA,0,0,0,0,0,0,0
"13 Going On 30",2004,98,37000000,6.4,7859,"PG-13",0,0,1,1,0,1,0
"13 Lakes",2004,135,NA,9,5,NA,0,0,0,0,1,0,0
"13 Moons",2002,93,NA,5.6,196,"R",0,0,1,0,0,0,0
"13 Rue Madeleine",1947,95,NA,6.8,262,NA,0,0,0,0,0,0,0
"13 West Street",1962,80,NA,6.3,35,NA,0,0,0,1,0,0,0
"13 kaidan",2003,122,NA,7.2,23,NA,0,0,0,0,0,0,0
"13. jul",1982,110,NA,6.4,11,NA,0,0,0,1,0,0,0
"13ta godenitsa na printsa",1987,89,NA,6.8,54,NA,0,0,0,0,0,0,0
"13th Floor, The",1988,88,NA,4.3,131,NA,0,0,0,0,0,0,0
"13th House, The",2003,58,NA,4.9,12,NA,0,0,0,0,0,0,0
"13th Letter, The",1951,85,NA,6.1,27,NA,0,0,0,0,0,0,0
"13th Man, The",1937,70,NA,5.1,5,NA,0,0,0,0,0,0,0
"13th Sign, The",2000,85,NA,3.9,28,NA,0,0,0,0,0,0,0
"13th Warrior, The",1999,102,85000000,6.1,14344,"R",1,0,0,0,0,0,0
"14 Carrot Rabbit",1952,7,NA,7.2,66,NA,0,1,1,0,0,0,1
"14 Million Dreams",2003,52,NA,8.3,7,NA,0,0,0,1,1,0,0
"14 numara",1985,83,NA,3.6,12,NA,0,0,0,1,0,0,0
"14, The",1973,105,NA,6.7,7,NA,0,0,0,0,0,0,0
"14/1 endlos",1998,27,NA,7,5,NA,0,0,0,0,0,0,1
"1492: Conquest of Paradise",1992,154,47000000,6,3379,NA,0,0,0,1,0,0,0
"14e kippetje, Het",1998,88,NA,5.5,118,NA,0,0,1,1,0,1,0
"15",2003,90,NA,6.4,97,NA,0,0,1,1,0,0,0
"15 Amore",1998,92,NA,6.5,88,NA,0,0,0,1,0,0,0
"15 Minutes",1999,25,NA,4.8,19,NA,0,0,1,0,0,0,1
"15 Minutes",2001,120,42000000,6.1,10866,"R",0,0,0,1,0,0,0
"15' zondergrond",2000,20,NA,6.4,7,NA,0,0,0,0,0,0,1
"15-Sai: Gakko IV",2000,120,NA,5.5,13,NA,0,0,0,1,0,0,0
"15.35: spoor 1",2003,74,NA,5.6,27,NA,0,0,0,1,0,0,0
"16 Days of Glory",1985,145,NA,7.7,37,NA,0,0,0,0,1,0,0
"16 December",2002,158,NA,7.3,26,NA,1,0,0,0,0,0,1
"16 Fathoms Deep",1948,82,NA,7.6,6,NA,0,0,0,0,0,0,0
"16/67: 20. September",1967,6,NA,5.5,6,NA,0,0,0,0,0,0,1
"16060",1995,86,NA,6.7,30,NA,0,0,0,1,0,0,0
"17 Seconds to Sophie",1998,1,NA,5.1,7,NA,0,0,0,0,1,0,1
"17 and Under",1998,107,NA,4.1,13,NA,0,0,0,1,0,0,0
"17 op",1989,75,NA,4.4,9,NA,0,0,0,0,0,0,0
"17 rue Bleue",2001,95,NA,5.7,22,NA,0,0,0,1,0,0,0
"1776",1972,180,4000000,7.3,1754,"PG",0,0,0,1,0,0,0
"1789",1974,150,NA,5.2,18,NA,0,0,0,0,0,0,0
"17th Man, The",2004,23,NA,7.6,18,NA,0,0,0,0,0,0,1
"18 Again!",1988,93,NA,4.8,643,NA,0,0,1,0,0,0,0
"18 Shades of Dust",1999,87,NA,4.5,43,"R",0,0,0,1,0,0,0
"18 Weapons of Kung Fu",1977,89,NA,2,21,NA,1,0,0,1,0,0,0
"18 anni tra una settimana",1991,98,NA,5.9,7,NA,0,0,0,1,0,0,0
"18-j",2004,100,NA,8.5,26,NA,0,0,0,1,1,0,0
"1860",1934,80,NA,7,16,NA,0,0,0,1,0,0,0
"1871",1990,100,NA,4.2,11,NA,0,0,0,1,0,0,0
"187: Documented",1997,58,NA,3,14,NA,0,0,0,1,1,0,0
"1895",1995,30,NA,7.8,21,NA,0,1,0,0,0,0,1
"19",2000,82,NA,7,59,NA,0,0,0,1,0,0,0
"19 Months",2002,77,NA,5.3,51,"R",0,0,1,0,0,0,0
"19 djevojaka i Mornar",1971,73,NA,5.4,5,NA,0,0,0,0,0,0,0
"1900",1976,245,9000000,7.5,2408,NA,0,0,0,1,0,0,0
"1918",1985,94,NA,5.8,65,NA,0,0,0,1,0,0,0
"1919",1985,99,NA,5,28,NA,0,0,0,1,0,0,0
"1919",1997,8,NA,6.2,13,NA,0,0,0,0,0,0,1
"1925 Studio Tour",1925,32,NA,8.2,26,NA,0,0,0,0,1,0,1
"1939",1989,193,NA,5.7,62,NA,0,0,0,1,0,0,0
"1941",1941,7,NA,7.9,5,NA,0,0,0,0,0,0,1
"1941",1979,146,35000000,5.6,5536,NA,0,0,1,0,0,0,0
"1942: A Love Story",1993,157,NA,6.5,210,NA,1,0,0,1,0,1,0
"1952: Ivan i Aleksandra",1989,80,NA,7.3,16,NA,0,0,0,1,0,0,0
"1955 Motion Picture Theatre Celebration",1955,18,NA,4.6,12,NA,0,0,0,0,1,0,1
"1958",1980,96,NA,5.9,23,NA,1,0,0,1,0,0,0
"1969",1988,95,NA,5.3,659,NA,0,0,0,1,0,0,0
"1974",2000,8,NA,4.4,12,NA,0,1,0,0,0,0,1
"1974, une partie de campagne",1974,90,NA,7.6,22,NA,0,0,0,0,1,0,0
"1984",1956,90,NA,6.9,304,NA,0,0,0,1,0,0,0
"1990: I guerrieri del Bronx",1982,89,NA,3.9,181,NA,1,0,0,0,0,0,0
"1991: The Year Punk Broke",1992,99,NA,6.9,166,NA,0,0,0,0,1,0,0
"1997 - Zapisi Rustema s risunkami",1998,80,NA,7.9,11,NA,0,0,0,0,0,0,0
"1999",1998,92,NA,5.3,93,"R",0,0,0,1,0,0,0
"1999 - Nen no natsu yasumi",1988,90,NA,6.5,66,NA,0,0,0,1,0,0,0
"1999 Madeleine",1999,86,NA,5.6,52,NA,0,0,1,0,0,1,0
"2 A.M. in the Subway",1905,1,NA,5.2,13,NA,0,0,1,0,0,0,1
"2 Birds with 1 Stallone",2002,76,NA,1.5,30,NA,0,0,0,1,0,0,0
"2 Days in the Valley",1996,104,NA,6.4,5057,"R",0,0,0,1,0,0,0
"2 Dyuo",1997,90,NA,6.5,9,NA,0,0,0,1,0,0,0
"2 Fast 2 Furious",2003,107,76000000,5.1,9556,"PG-13",1,0,0,0,0,0,0
"2 G's & a Key",2000,97,NA,4.4,44,NA,1,0,0,0,0,0,0
"2 Little, 2 Late",1999,87,NA,6.5,18,NA,0,0,1,1,0,0,0
"2 bileta na dnevnoy seans",1966,90,NA,8.2,5,NA,0,0,0,0,0,0,0
"2 deputati, I",1968,95,NA,6.9,9,NA,0,0,1,0,0,0,0
"2 minutter",2001,8,NA,6.9,9,NA,0,0,0,0,0,0,1
"2 or 3 Things But Nothing for Sure",1997,12,NA,7.2,5,NA,0,0,0,0,1,0,1
"2 ou 3 choses que je sais d'elle",1967,90,NA,6.7,355,NA,0,0,0,1,0,0,0
"2 ryk og 1 aflevering",2003,96,NA,5.5,86,NA,0,0,1,1,0,0,0
"2 secondes",1998,100,NA,6.8,166,NA,0,0,1,1,0,1,0
"2+1",2004,28,NA,8.2,16,NA,0,0,1,0,0,0,1
"2+5: Missione Hydra",1965,89,NA,3.3,29,NA,0,0,0,0,0,0,0
"2,000 Women",1944,97,NA,5.9,50,NA,0,0,0,0,0,0,0
"2. juledag",2000,25,NA,5.5,8,NA,0,0,0,0,0,0,1
"20 Dates",1998,87,60000,5.4,841,"R",0,0,1,0,1,1,0
"20 Fingers",2004,74,NA,6.7,52,NA,0,0,0,1,0,0,0
"20 Million Miles to Earth",1957,82,NA,6.2,523,NA,0,0,0,0,0,0,0
"20 Mule Team",1940,84,NA,7.1,25,NA,0,0,0,0,0,0,0
"20,000 Cheers for the Chain Gang",1933,20,NA,6.5,16,NA,0,0,1,0,0,0,1
"20,000 Leagues Under the Sea",1916,105,200000,6.2,135,NA,1,0,0,0,0,0,0
"20,000 Years in Sing Sing",1932,78,NA,7,274,NA,0,0,0,1,0,0,0
"20-seiki nosutarujia",1997,93,NA,3.7,14,NA,0,0,0,0,0,0,0
"20. Juli, Der",1955,97,NA,8.6,18,NA,0,0,0,0,0,0,0
"20/20 Vision",1999,20,NA,1,5,NA,0,0,1,0,0,0,1
"200 American",2003,84,NA,5.4,62,NA,0,0,0,0,0,1,0
"200 Cigarettes",1999,101,6000000,5.4,4514,"R",0,0,1,1,0,0,0
"200 Motels",1971,98,679000,5.2,338,NA,0,0,1,0,0,0,0
"2000 Nordestes",2000,70,NA,7.9,25,NA,0,0,0,0,1,0,0
"2000 Years Later",1969,80,NA,4.4,12,NA,0,0,1,0,0,0,0
"20000 Leagues Under the Sea",1954,127,5000000,7.1,2741,NA,0,0,0,1,0,0,0
"2001 Yonggary",1999,99,NA,3.1,241,"PG-13",1,0,0,0,0,0,0
"2001: A Space Odyssey",1968,156,10500000,8.3,64982,NA,0,0,0,0,0,0,0
"2001: A Space Travesty",2000,99,26000000,2.5,2023,"R",0,0,1,0,0,0,0
"2002: The Rape of Eden",1994,90,NA,4,24,NA,1,0,1,1,0,0,0
"2009: Lost Memories",2002,136,NA,6.6,639,"R",1,0,0,1,0,0,0
"201 Kanarinia, Ta",1964,96,NA,7.1,6,NA,0,0,0,0,0,0,0
"2010",1984,116,NA,6.5,7300,NA,0,0,0,0,0,0,0
"2010: The Odyssey Continues",1984,18,NA,5.8,154,NA,0,0,0,0,1,0,1
"2019 - Dopo la caduta di New York",1983,91,NA,5.3,176,NA,1,0,0,0,0,0,0
"203 kochi",1980,185,NA,6.8,24,NA,0,0,0,1,0,0,0
"2046",2004,129,12000000,7.6,2663,"R",0,0,0,1,0,1,0
"2069 A.D.",1969,75,NA,5.3,8,NA,0,0,0,0,0,0,0
"2084",1984,10,NA,6.4,10,NA,0,0,0,0,1,0,1
"20:30:40",2004,113,NA,7.1,177,NA,0,0,1,1,0,1,0
"20h17 rue Darling",2003,101,NA,6.3,75,NA,0,0,0,1,0,0,0
"21",2000,105,NA,6,25,NA,0,0,1,1,0,1,0
"21 Grams",2003,124,20000000,8,21857,"R",0,0,0,1,0,0,0
"21-87",1964,10,NA,6.1,13,NA,0,0,0,0,0,0,1
"2103: The Deadly Wake",1997,100,NA,3.8,78,NA,0,0,0,0,0,0,0
"21st Century Jet: The Building of the 777",1996,285,NA,7.6,7,NA,0,0,0,0,1,0,0
"22 June 1897",1979,121,NA,6,11,NA,0,0,0,1,0,0,0
"23",1998,100,NA,7.2,1246,NA,0,0,0,1,0,0,0
"23 -- Skidoo",1930,10,NA,4.8,15,NA,0,0,1,0,0,0,1
"23 Paces to Baker Street",1956,103,NA,7,179,NA,0,0,0,0,0,0,0
"237",2000,12,NA,4.3,7,NA,0,0,0,0,0,0,1
"23:58",1993,84,NA,7,8,NA,0,0,0,0,0,0,0
"23rd March 1931: Shaheed",2002,188,NA,6.3,25,NA,0,0,0,0,0,0,0
"24",2002,91,NA,7.4,75,NA,0,0,0,1,0,0,0
"24 7: Twenty Four Seven",1997,96,NA,6.7,504,"R",0,0,1,1,0,0,0
"24 Hour Party People",2002,117,NA,7.2,3603,"R",0,0,1,1,0,0,0
"24 Hour Woman, The",1999,93,2500000,5.6,149,"R",0,0,1,0,0,0,0
"24 Hours",1931,66,NA,7,11,NA,0,0,0,0,0,0,0
"24 Hours in London",2000,90,NA,3.8,242,"R",0,0,0,0,0,0,0
"24 Nights",1999,97,NA,6.3,81,NA,0,0,1,0,0,0,0
"24 chasa",2000,86,NA,6,39,NA,0,0,0,1,0,0,0
"24 heures de la vie d'une femme",2002,107,NA,5.6,74,NA,0,0,0,1,0,0,0
"24 heures ou plus...",1977,114,NA,7.6,9,NA,0,0,0,0,0,0,0
"24 horas de placer",1969,95,NA,8.1,7,NA,0,0,1,0,0,0,0
"24-Seven",1999,8,NA,5.9,22,NA,0,0,1,0,0,0,1
"24/24",2001,11,NA,4.8,9,NA,0,0,0,0,0,0,1
"24fps",2000,6,NA,4.8,16,NA,0,0,0,0,0,0,1
"24th Day, The",2004,92,NA,6.4,502,"R",0,0,0,0,0,0,0
"25 Kids and a Dad",2002,90,NA,6.2,8,NA,0,0,0,0,0,0,0
"25 Watts",2001,92,200000,7,275,NA,0,0,1,1,0,0,0
"25 Ways to Quit Smoking",1989,5,NA,7.2,114,NA,0,1,1,0,0,0,1
"25th Hour",2002,135,15000000,7.8,15788,"R",0,0,0,1,0,0,0
"26 Summer Street",1996,17,NA,4.7,20,NA,0,0,0,0,0,0,1
"27 Down",1974,118,NA,8.9,7,NA,0,0,0,0,0,0,0
"27 Missing Kisses",2000,98,NA,6.6,291,NA,0,0,1,1,0,1,0
"27 horas",1986,81,NA,5.2,38,NA,0,0,0,0,0,0,0
"27A",1974,86,NA,5,8,NA,0,0,0,1,0,0,0
"27th Day, The",1957,75,NA,5.9,84,NA,0,0,0,0,0,0,0
"28 Days",2000,103,43000000,6,7465,"PG-13",0,0,0,1,0,0,0
"28 Days Later...",2002,113,8000000,7.3,24174,"R",0,0,0,0,0,0,0
"28 minuti per 3 milioni di dollari",1967,90,NA,3.9,6,NA,0,0,0,0,0,0,0
"28 oktovriou, ora 5:30",1971,90,NA,6.2,5,NA,0,0,0,1,0,0,0
